service_id,date,exception_type
060-59-0405092025-WIG#HB,20250909,2
060-59-0405092025-WIG#HB,20250910,2
060-59-0405092025-WIG#HB,20250916,2
060-59-0405092025-WIG#HB,20250917,2
060-59-0405092025-WIG#HB,20250923,2
060-59-0405092025-WIG#HB,20250924,2
060-59-0505122025-WIG#HB,20251202,2
060-59-0505122025-WIG#HB,20251203,2
060-59-0505122025-WIG#HB,20251209,2
060-59-0505122025-WIG#HB,20251210,2
060-59-0505122025-WIG#HB,20251216,2
060-59-0505122025-WIG#HB,20251217,2
060-70-0740092025-HB#WIG,20250910,2
060-70-0740092025-HB#WIG,20250911,2
060-70-0740092025-HB#WIG,20250917,2
060-70-0740092025-HB#WIG,20250918,2
060-70-0740092025-HB#WIG,20250924,2
060-70-0740092025-HB#WIG,20250925,2
060-70-0840012026-HB#WIG,20260108,2
060-70-0840122025-HB#WIG,20251203,2
060-70-0840122025-HB#WIG,20251204,2
060-70-0840122025-HB#WIG,20251210,2
060-70-0840122025-HB#WIG,20251211,2
060-70-0840122025-HB#WIG,20251217,2
060-70-0840122025-HB#WIG,20251218,2
060-71-1740102025-WIG#PRA,20251006,2
060-71-1740102025-WIG#PRA,20251007,2
060-71-1740102025-WIG#PRA,20251008,2
060-71-1840122025-WIG#PRA,20251208,2
060-71-1840122025-WIG#PRA,20251209,2
060-71-1840122025-WIG#PRA,20251210,2
060-71-1840122025-WIG#PRA,20251215,2
060-71-1840122025-WIG#PRA,20251216,2
